genome,tool,entity_type,class_norm,shared_count,unshared_count,total
Cryptococcus_neoformans_H99,antismash,GCF,NRPS,0,1,1
Cryptococcus_neoformans_H99,antismash,GCF,terpene,0,4,4
Debaryomyces_hansenii_CBS767,antismash,BGC,NRPS,0,0,0
Debaryomyces_hansenii_CBS767,antismash,BGC,other,0,0,0
Debaryomyces_hansenii_CBS767,antismash,BGC,terpene,2,3,5
Debaryomyces_hansenii_CBS767,funbgcex,BGC,NRPS,0,1,1
Debaryomyces_hansenii_CBS767,funbgcex,BGC,other,0,2,2
Debaryomyces_hansenii_CBS767,funbgcex,BGC,terpene,2,0,2
Debaryomyces_hansenii_CBS767,antismash,GCF,terpene,1,4,5
Fusarium_fujikuroi_IMI_58289,antismash,BGC,Hybrid,6,3,9
Fusarium_fujikuroi_IMI_58289,antismash,BGC,NRPS,15,1,16
Fusarium_fujikuroi_IMI_58289,antismash,BGC,PKS,8,0,8
Fusarium_fujikuroi_IMI_58289,antismash,BGC,RiPP,0,0,0
Fusarium_fujikuroi_IMI_58289,antismash,BGC,other,5,1,6
Fusarium_fujikuroi_IMI_58289,antismash,BGC,terpene,14,2,16
Fusarium_fujikuroi_IMI_58289,funbgcex,BGC,Hybrid,6,0,6
Fusarium_fujikuroi_IMI_58289,funbgcex,BGC,NRPS,15,6,21
Fusarium_fujikuroi_IMI_58289,funbgcex,BGC,PKS,8,4,12
Fusarium_fujikuroi_IMI_58289,funbgcex,BGC,RiPP,0,1,1
Fusarium_fujikuroi_IMI_58289,funbgcex,BGC,other,5,1,6
Fusarium_fujikuroi_IMI_58289,funbgcex,BGC,terpene,14,2,16
Fusarium_fujikuroi_IMI_58289,antismash,GCF,NRPS,9,7,16
Fusarium_fujikuroi_IMI_58289,antismash,GCF,NRPS;PKS,4,3,7
Fusarium_fujikuroi_IMI_58289,antismash,GCF,NRPS;PKS;terpene,1,0,1
Fusarium_fujikuroi_IMI_58289,antismash,GCF,PKS,6,4,10
Fusarium_fujikuroi_IMI_58289,antismash,GCF,PKS;terpene,1,0,1
Fusarium_fujikuroi_IMI_58289,antismash,GCF,other,1,5,6
Fusarium_fujikuroi_IMI_58289,antismash,GCF,terpene,12,5,17
Fusarium_graminearum_PH-1_NRRL_31084,antismash,BGC,Hybrid,6,2,8
Fusarium_graminearum_PH-1_NRRL_31084,antismash,BGC,NRPS,14,1,15
Fusarium_graminearum_PH-1_NRRL_31084,antismash,BGC,PKS,7,0,7
Fusarium_graminearum_PH-1_NRRL_31084,antismash,BGC,RiPP,0,0,0
Fusarium_graminearum_PH-1_NRRL_31084,antismash,BGC,other,2,0,2
Fusarium_graminearum_PH-1_NRRL_31084,antismash,BGC,terpene,12,3,15
Fusarium_graminearum_PH-1_NRRL_31084,funbgcex,BGC,Hybrid,6,1,7
Fusarium_graminearum_PH-1_NRRL_31084,funbgcex,BGC,NRPS,14,2,16
Fusarium_graminearum_PH-1_NRRL_31084,funbgcex,BGC,PKS,7,2,9
Fusarium_graminearum_PH-1_NRRL_31084,funbgcex,BGC,RiPP,0,1,1
Fusarium_graminearum_PH-1_NRRL_31084,funbgcex,BGC,other,2,5,7
Fusarium_graminearum_PH-1_NRRL_31084,funbgcex,BGC,terpene,12,1,13
Fusarium_graminearum_PH-1_NRRL_31084,antismash,GCF,NRPS,3,12,15
Fusarium_graminearum_PH-1_NRRL_31084,antismash,GCF,NRPS;PKS,1,4,5
Fusarium_graminearum_PH-1_NRRL_31084,antismash,GCF,NRPS;PKS;terpene,0,1,1
Fusarium_graminearum_PH-1_NRRL_31084,antismash,GCF,PKS,2,5,7
Fusarium_graminearum_PH-1_NRRL_31084,antismash,GCF,PKS;terpene,0,2,2
Fusarium_graminearum_PH-1_NRRL_31084,antismash,GCF,other,0,2,2
Fusarium_graminearum_PH-1_NRRL_31084,antismash,GCF,terpene,4,11,15
Fusarium_oxysporum_Fo47,antismash,BGC,Hybrid,5,3,8
Fusarium_oxysporum_Fo47,antismash,BGC,NRPS,17,0,17
Fusarium_oxysporum_Fo47,antismash,BGC,PKS,7,0,7
Fusarium_oxysporum_Fo47,antismash,BGC,RiPP,0,0,0
Fusarium_oxysporum_Fo47,antismash,BGC,other,6,1,7
Fusarium_oxysporum_Fo47,antismash,BGC,terpene,12,3,15
Fusarium_oxysporum_Fo47,funbgcex,BGC,Hybrid,5,0,5
Fusarium_oxysporum_Fo47,funbgcex,BGC,NRPS,17,6,23
Fusarium_oxysporum_Fo47,funbgcex,BGC,PKS,7,2,9
Fusarium_oxysporum_Fo47,funbgcex,BGC,RiPP,0,3,3
Fusarium_oxysporum_Fo47,funbgcex,BGC,other,6,6,12
Fusarium_oxysporum_Fo47,funbgcex,BGC,terpene,12,2,14
Fusarium_oxysporum_Fo47,antismash,GCF,NRPS,10,7,17
Fusarium_oxysporum_Fo47,antismash,GCF,NRPS;PKS,2,3,5
Fusarium_oxysporum_Fo47,antismash,GCF,NRPS;PKS;terpene,1,0,1
Fusarium_oxysporum_Fo47,antismash,GCF,NRPS;terpene,0,2,2
Fusarium_oxysporum_Fo47,antismash,GCF,PKS,5,2,7
Fusarium_oxysporum_Fo47,antismash,GCF,other,2,5,7
Fusarium_oxysporum_Fo47,antismash,GCF,terpene,11,4,15
Fusarium_verticillioides_7600,antismash,BGC,Hybrid,4,4,8
Fusarium_verticillioides_7600,antismash,BGC,NRPS,17,0,17
Fusarium_verticillioides_7600,antismash,BGC,PKS,11,0,11
Fusarium_verticillioides_7600,antismash,BGC,RiPP,0,0,0
Fusarium_verticillioides_7600,antismash,BGC,other,6,1,7
Fusarium_verticillioides_7600,antismash,BGC,terpene,13,2,15
Fusarium_verticillioides_7600,funbgcex,BGC,Hybrid,4,0,4
Fusarium_verticillioides_7600,funbgcex,BGC,NRPS,17,4,21
Fusarium_verticillioides_7600,funbgcex,BGC,PKS,11,2,13
Fusarium_verticillioides_7600,funbgcex,BGC,RiPP,0,2,2
Fusarium_verticillioides_7600,funbgcex,BGC,other,6,2,8
Fusarium_verticillioides_7600,funbgcex,BGC,terpene,13,3,16
Fusarium_verticillioides_7600,antismash,GCF,NRPS,8,9,17
Fusarium_verticillioides_7600,antismash,GCF,NRPS;PKS,4,0,4
Fusarium_verticillioides_7600,antismash,GCF,NRPS;PKS;terpene,1,0,1
Fusarium_verticillioides_7600,antismash,GCF,NRPS;terpene,0,2,2
Fusarium_verticillioides_7600,antismash,GCF,PKS,7,4,11
Fusarium_verticillioides_7600,antismash,GCF,PKS;terpene,1,0,1
Fusarium_verticillioides_7600,antismash,GCF,other,2,5,7
Fusarium_verticillioides_7600,antismash,GCF,terpene,10,5,15
Histoplasma_mississippiense_NAm1,antismash,BGC,NRPS,7,0,7
Histoplasma_mississippiense_NAm1,antismash,BGC,PKS,1,0,1
Histoplasma_mississippiense_NAm1,antismash,BGC,other,0,1,1
Histoplasma_mississippiense_NAm1,antismash,BGC,terpene,2,4,6
Histoplasma_mississippiense_NAm1,funbgcex,BGC,NRPS,7,2,9
Histoplasma_mississippiense_NAm1,funbgcex,BGC,PKS,1,0,1
Histoplasma_mississippiense_NAm1,funbgcex,BGC,other,0,1,1
Histoplasma_mississippiense_NAm1,funbgcex,BGC,terpene,2,2,4
Histoplasma_mississippiense_NAm1,antismash,GCF,NRPS,0,7,7
Histoplasma_mississippiense_NAm1,antismash,GCF,PKS,1,0,1
